id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2514085237,https://www.vivareal.com.br/imovel/apartamento-4-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-220m2-venda-RS1890000-id-2514085237/,Apartamento com 4 Quartos para Venda/Aluguel 220m²,"Rua Edson, 263 - Campo Belo, São Paulo - SP",220,4 Quartos,4 Banheiros,3 Vagas,"Mobiliado
Varanda
Ar-condicionado
Garagem
Área de serviço","R$ 11.000 /mês
R$ 1.890.000",R$ 2.800,São Paulo,2021-05-11 18:03
2514048290,https://www.vivareal.com.br/imovel/apartamento-1-quartos-perdizes-zona-oeste-sao-paulo-com-garagem-34m2-aluguel-RS2500-id-2514048290/,"Apartamento com Quarto para Aluguel, 34m²","Rua Desembargador Guimarães - Perdizes, São Paulo - SP",34,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Piscina
Academia
Ar-condicionado
Elevador",R$ 2.500 /mês,R$ 501,São Paulo,2021-05-11 18:03
2516300250,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-55m2-aluguel-RS3000-id-2516300250/,"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Paim - Bela Vista, São Paulo - SP",55,2 Quartos,2 Banheiros,1 Vaga,"Mobiliado
Varanda
Academia
Garagem
Área de serviço",R$ 3.000 /mês,R$ 550,São Paulo,2021-05-11 18:03
2514440673,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-sonia-zona-oeste-sao-paulo-com-garagem-62m2-aluguel-RS2375-id-2514440673/,"Apartamento com 2 Quartos para Aluguel, 62m²","Avenida Professor Francisco Morato, 4880 - Vila Sônia, São Paulo - SP",62,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Academia
Churrasqueira
Elevador
Cozinha",R$ 2.375 /mês,R$ 550,São Paulo,2021-05-11 18:03
2518112346,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mascote-zona-sul-sao-paulo-com-garagem-83m2-venda-RS840000-id-2518112346/,Apartamento com 2 Quartos para Venda/Aluguel 83m²,"Avenida Mascote, 81 - Vila Mascote, São Paulo - SP",83,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Varanda
Varanda gourmet
Churrasqueira
Elevador","R$ 3.500 /mês
R$ 840.000",R$ 760,São Paulo,2021-05-11 18:03
2513331608,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lapa-zona-oeste-sao-paulo-com-garagem-48m2-aluguel-RS2200-id-2513331608/,"Apartamento com 2 Quartos para Aluguel, 48m²","Lapa, São Paulo - SP",48,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Varanda
Churrasqueira
Área de serviço
Salão de festas",R$ 2.200 /mês,R$ 353,São Paulo,2021-05-11 18:03
2518327288,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-aluguel-RS2200-id-2518327288/,"Apartamento com Quarto para Aluguel, 42m²","Rua Herculano de Freitas - Bela Vista, São Paulo - SP",42,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Piscina
Academia
Elevador
Condomínio fechado",R$ 2.200 /mês,R$ 700,São Paulo,2021-05-11 18:03
2512681511,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-centro-sao-paulo-25m2-aluguel-RS1500-id-2512681511/,"Apartamento com Quarto para Aluguel, 25m²","Rua Washington Luís - Centro, São Paulo - SP",25,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Academia
Churrasqueira
Elevador
Salão de festas",R$ 1.500 /mês,R$ 285,São Paulo,2021-05-11 18:03
2506973601,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-59m2-aluguel-RS3500-id-2506973601/,"Apartamento com 2 Quartos para Aluguel, 59m²","Rua Gaspar Lourenço - Vila Mariana, São Paulo - SP",59,2 Quartos,2 Banheiros,2 Vagas,"Mobiliado
Piscina
Academia
Churrasqueira
Ar-condicionado",R$ 3.500 /mês,R$ 860,São Paulo,2021-05-11 18:03
2476281341,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-50m2-aluguel-RS1250-id-2476281341/,"Apartamento com Quarto para Aluguel, 50m²","Rua Treze de Maio, 903 - Bela Vista, São Paulo - SP",50,1 Quarto,1 Banheiro,-- Vaga,,R$ 1.250 /mês,R$ 450,São Paulo,2021-05-11 18:03
