,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
149,   R$ 2.900 /Mês  ,  2   Quartos  ,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  75   m²  ,,
150,   R$ 14.485 /Mês  ,  3   Quartos  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  211   m²  ,,
151,   R$ 1.600 /Mês  ,  2   Quartos  ,"Rua Guarani, 460 - Bom Retiro, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  60   m²  ,,
152,   R$ 2.002 /Mês  ,  1   Quarto  ,"Rua Brás Cardoso, , 654 - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  42   m²  ,,
153,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  15   m²  ,,
154,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  46   m²  ,,
155,   R$ 3.500 /Mês    R$ 1.100.000   ,  2   Quartos  ,"Alameda Barros - Santa Cecília, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  78   m²  ,,
156,   R$ 1.900 /Mês  ,  2   Quartos  ,"Rua Afonso Pena, 560 - Bom Retiro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  42   m²  ,,
157,   R$ 1.500 /Mês  ,  1   Quarto  ,"Rua Doutor Seng, 152 - Bela Vista, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  36   m²  ,,
158,   R$ 5.500 /Mês  ,  2   Quartos  ,"Rua Henri Dunant, 792 - Santo Amaro, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  78   m²  ,,
159,   R$ 1.800 /Mês  ,  2   Quartos  ,"Avenida Itaboraí - Bosque da Saúde, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  62   m²  ,,
160,   R$ 2.000 /Mês  ,  3   Quartos  ,"Rua Eli - Vila Maria Baixa, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  73   m²  ,,
161,   R$ 2.300 /Mês  ,  1   Quarto  ,"Praça da República, 401 - República, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
162,   R$ 3.100 /Mês  ,  2   Quartos  ,"Avenida Fagundes Filho - Vila Monte Alegre, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  70   m²  ,,
163,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  276   m²  ,,
164,   R$ 6.100 /Mês    R$ 1.295.000   ,  2   Quartos  ,"Rua Sansão Alves dos Santos, 343 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  75   m²  ,,
165,   R$ 5.400 /Mês  ,  2   Quartos  ,"Rua Peixoto Gomide, 596 - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  72   m²  ,,
166,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  80   m²  ,,
167,   R$ 4.985 /Mês  ,  2   Quartos  ,"Rua Silva Correia, 125 - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  86   m²  ,,
168,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  ,,
169,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Judith Zumkeller, 870 - Parque Mandaqui, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  60   m²  ,,
170,   R$ 1.900 /Mês  ,  1   Quarto  ,"Pinheiros, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  25   m²  ,,
171,   R$ 8.500 /Mês  ,  3   Quartos  ,"Rua Pelotas, 209 - Vila Mariana, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  142   m²  ,,
172,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Tabapuã, 665 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  85   m²  ,,
173,   R$ 1.800 /Mês    R$ 420.000   ,  1   Quarto  ,"Rua dos Caciques - Vila da Saúde, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  37   m²  ,,
174,   R$ 3.800 /Mês  ,  2   Quartos  ,"Rua Faustolo, 724 - Lapa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  64   m²  ,,
175,   R$ 5.500 /Mês    R$ 1.650.000   ,  3   Quartos  ,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",  4   Banheiros  ,  3   Vagas  ,  165   m²  ,,
176,   R$ 1.400 /Mês  ,  1   Quarto  ,"Rua Butantã, 408 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
177,   R$ 2.000 /Mês  ,  2   Quartos  ,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  ,,
178,   R$ 9.990 /Mês    R$ 2.199.900   ,  3   Quartos  ,"Rua Pensilvânia, 442 - Cidade Monções, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  156   m²  ,,
179,   R$ 3.000 /Mês  ,  2   Quartos  ,"Rua Teodoro Sampaio, 498 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  75   m²  ,,
180,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Paris, 415 - Sumaré, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
181,   R$ 12.000 /Mês  ,  3   Quartos  ,"Rua Visconde de Taunay, 627 - Vila Cruzeiro, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  220   m²  ,,
182,   R$ 15.000 /Mês  ,  4   Quartos  ,"Rua Edson, 728 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  230   m²  ,,
183,   R$ 7.485 /Mês  ,  2   Quartos  ,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  110   m²  ,,
184,   R$ 2.900 /Mês  ,  2   Quartos  ,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  75   m²  ,,
185,   R$ 14.485 /Mês  ,  3   Quartos  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  211   m²  ,,
186,   R$ 5.485 /Mês  ,  3   Quartos  ,"Rua Nebraska, 420 - Brooklin Novo, São Paulo - SP",  1   Banheiro  ,  3   Vagas  ,  121   m²  ,,
187,   R$ 1.600 /Mês  ,  2   Quartos  ,"Rua Guarani, 460 - Bom Retiro, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  60   m²  ,,
188,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  100   m²  ,,
189,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  15   m²  ,,
190,   R$ 4.500 /Mês  ,  2   Quartos  ,"Rua Dona Antônia de Queirós, 505 - Consolação, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  60   m²  ,,
191,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Bacaetava, 66 - Vila Gertrudes, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  97   m²  ,,
192,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  80   m²  ,,
193,   R$ 4.985 /Mês  ,  2   Quartos  ,"Rua Silva Correia, 125 - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  86   m²  ,,
194,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Caconde, 310 - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  130   m²  ,,
195,   R$ 1.400 /Mês  ,  2   Quartos  ,"Rua João Ferreira de Abreu - Vila Arriete, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
196,   R$ 5.485 /Mês  ,  3   Quartos  ,"Rua Marechal Deodoro, 500 - Santo Amaro, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  126   m²  ,,
197,   R$ 1.800 /Mês  ,  3   Quartos  ,"Avenida Yervant Kissajikian - Vila Constança, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  60   m²  ,,
198,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Tabapuã, 665 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  85   m²  ,,
199,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  15   m²  ,,
200,   R$ 2.900 /Mês  ,  2   Quartos  ,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  75   m²  ,,
201,   R$ 8.000 /Mês  ,  3   Quartos  ,"Alameda dos Arapanés, 628 - Moema, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  198   m²  ,,
202,   R$ 3.500 /Mês  ,  2   Quartos  ,"Rua João Cachoeira - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  90   m²  ,,
203,   R$ 7.485 /Mês  ,  2   Quartos  ,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  110   m²  ,,
204,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Paris, 415 - Sumaré, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
205,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  54   m²  ,,
206,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  100   m²  ,,
207,   R$ 1.100 /Mês  ,  1   Quarto  ,"Avenida Afonso Mariano Fagundes, 725 - Saúde, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  12   m²  ,,
208,   R$ 1.430 /Mês  ,  2   Quartos  ,"Rua Nossa Senhora do Bom Conselho, 451 - Chácara Nossa Senhora do Bom Conselho, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
209,   R$ 1.150 /Mês  ,  2   Quartos  ,"Rua Inocêncio de Camargo, 41 - Pedreira, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  46   m²  ,,
210,   R$ 1.800 /Mês  ,  2   Quartos  ,"Avenida Itaboraí - Bosque da Saúde, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  62   m²  ,,
211,   R$ 2.000 /Mês  ,  3   Quartos  ,"Rua Eli - Vila Maria Baixa, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  73   m²  ,,
212,   R$ 6.100 /Mês    R$ 1.295.000   ,  2   Quartos  ,"Rua Sansão Alves dos Santos, 343 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  75   m²  ,,
213,   R$ 5.400 /Mês  ,  2   Quartos  ,"Rua Peixoto Gomide, 596 - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  72   m²  ,,
214,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  80   m²  ,,
215,   R$ 4.985 /Mês  ,  2   Quartos  ,"Rua Silva Correia, 125 - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  86   m²  ,,
216,   R$ 8.500 /Mês  ,  3   Quartos  ,"Rua Pelotas, 209 - Vila Mariana, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  142   m²  ,,
217,   R$ 1.800 /Mês    R$ 420.000   ,  1   Quarto  ,"Rua dos Caciques - Vila da Saúde, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  37   m²  ,,
218,   R$ 3.800 /Mês  ,  2   Quartos  ,"Rua Faustolo, 724 - Lapa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  64   m²  ,,
219,   R$ 5.500 /Mês    R$ 1.650.000   ,  3   Quartos  ,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",  4   Banheiros  ,  3   Vagas  ,  165   m²  ,,
220,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  ,,
221,   R$ 1.500 /Mês    R$ 310.000   ,  3   Quartos  ,"Rua Jorge Ogushi - Jardim Vila Formosa, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  63   m²  ,,
222,   R$ 4.000 /Mês  ,  3   Quartos  ,"Rua Sócrates, 161 - Vila Sofia, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  105   m²  ,,
223,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Raul Pompéia, 745 - Vila Pompéia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  81   m²  ,,
224,   R$ 3.050 /Mês  ,  1   Quarto  ,"Rua Luís Correia de Melo, 92 - Vila Cruzeiro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
225,   R$ 2.000 /Mês  ,  2   Quartos  ,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  ,,
226,   R$ 12.000 /Mês  ,  3   Quartos  ,"Rua Visconde de Taunay, 627 - Vila Cruzeiro, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  220   m²  ,,
227,   R$ 10.000 /Mês  ,  4   Quartos  ,"Rua Caiubi, 1159 - Perdizes, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  180   m²  ,,
228,   R$ 8.000 /Mês  ,  3   Quartos  ,"Alameda dos Arapanés, 628 - Moema, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  198   m²  ,,
229,   R$ 15.000 /Mês  ,  4   Quartos  ,"Rua Edson, 728 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  230   m²  ,,
230,   R$ 7.485 /Mês  ,  2   Quartos  ,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  110   m²  ,,
231,   R$ 2.900 /Mês  ,  2   Quartos  ,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  75   m²  ,,
232,   R$ 14.485 /Mês  ,  3   Quartos  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  211   m²  ,,
233,   R$ 4.500 /Mês  ,  2   Quartos  ,"Rua Dona Antônia de Queirós, 505 - Consolação, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  60   m²  ,,
234,   R$ 2.300 /Mês  ,  1   Quarto  ,"Praça da República, 401 - República, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
235,   R$ 3.100 /Mês  ,  2   Quartos  ,"Avenida Fagundes Filho - Vila Monte Alegre, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  70   m²  ,,
236,   R$ 6.100 /Mês    R$ 1.295.000   ,  2   Quartos  ,"Rua Sansão Alves dos Santos, 343 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  75   m²  ,,
237,   R$ 5.485 /Mês  ,  3   Quartos  ,"Rua Marechal Deodoro, 500 - Santo Amaro, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  126   m²  ,,
238,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  ,,
239,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Tabapuã, 665 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  85   m²  ,,
240,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  15   m²  ,,
241,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  ,,
242,   R$ 1.500 /Mês    R$ 310.000   ,  3   Quartos  ,"Rua Jorge Ogushi - Jardim Vila Formosa, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  63   m²  ,,
243,   R$ 4.000 /Mês  ,  3   Quartos  ,"Rua Sócrates, 161 - Vila Sofia, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  105   m²  ,,
244,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Raul Pompéia, 745 - Vila Pompéia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  81   m²  ,,
245,   R$ 3.050 /Mês  ,  1   Quarto  ,"Rua Luís Correia de Melo, 92 - Vila Cruzeiro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
246,   R$ 12.000 /Mês  ,  3   Quartos  ,"Rua Visconde de Taunay, 627 - Vila Cruzeiro, São Paulo - SP",  5   Banheiros  ,  4   Vagas  ,  220   m²  ,,
247,   R$ 7.485 /Mês  ,  2   Quartos  ,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  110   m²  ,,
248,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  54   m²  ,,
249,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  100   m²  ,,
250,   R$ 1.400 /Mês  ,  1   Quarto  ,"Rua Barão de Santa Branca - Parque Colonial, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
251,   R$ 4.000 /Mês  ,  1   Quarto  ,"Rua Eugênio de Medeiros, 288 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  42   m²  ,,
252,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  46   m²  ,,
253,   R$ 3.500 /Mês    R$ 1.100.000   ,  2   Quartos  ,"Alameda Barros - Santa Cecília, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  78   m²  ,,
254,   R$ 2.500 /Mês  ,  3   Quartos  ,"Rua Camillo Nader, 175 - Vila Morumbi, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  125   m²  , Vila Morumbi,"Rua Camillo Nader, 175"
255,   R$ 990 /Mês  ,  1   Quarto  ,"Rua Chico Pontes, 184 - Carandiru, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  24   m²  , Carandiru,"Rua Chico Pontes, 184"
256,   R$ 2.250 /Mês  ,  1   Quarto  ,"Rua Dona Antônia de Queirós - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  39   m²  , Consolação,Rua Dona Antônia de Queirós
257,   R$ 9.990 /Mês    R$ 2.199.800   ,  3   Quartos  ,"Rua Pensilvânia, 442 - Cidade Monções, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  156   m²  , Cidade Monções,"Rua Pensilvânia, 442"
258,   R$ 2.500 /Mês  ,  3   Quartos  ,"Rua Ipanema, 67 - Mooca, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  63   m²  , Mooca,"Rua Ipanema, 67"
259,   R$ 2.200 /Mês  ,  2   Quartos  ,"Rua Agostinho Gomes, 1326 - Ipiranga, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  62   m²  , Ipiranga,"Rua Agostinho Gomes, 1326"
260,   R$ 2.500 /Mês  ,  1   Quarto  ,"Avenida Vereador José Diniz, 3100 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  35   m²  , Santo Amaro,"Avenida Vereador José Diniz, 3100"
261,   R$ 14.485 /Mês  ,  3   Quartos  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  211   m²  , Vila Nova Conceição,"Rua Inajaroba, 17"
262,   R$ 1.700 /Mês  ,  2   Quartos  ,"Avenida Santa Catarina, 1531 - Vila Mascote, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  54   m²  , Vila Mascote,"Avenida Santa Catarina, 1531"
263,   R$ 4.250 /Mês  ,  1   Quarto  ,"Rua George Ohm, 330 - Cidade Monções, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  52   m²  , Cidade Monções,"Rua George Ohm, 330"
264,   R$ 4.000 /Mês  ,  1   Quarto  ,"Rua Nova York, 245 - Brooklin Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  43   m²  , Brooklin Paulista,"Rua Nova York, 245"
265,   R$ 2.800 /Mês  ,  3   Quartos  ,"Rua Galvão Bueno, 499 - Liberdade, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  79   m²  , Liberdade,"Rua Galvão Bueno, 499"
266,   R$ 1.430 /Mês  ,  2   Quartos  ,"Rua Nossa Senhora do Bom Conselho, 451 - Chácara Nossa Senhora do Bom Conselho, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  , Chácara Nossa Senhora do Bom Conselho,"Rua Nossa Senhora do Bom Conselho, 451"
267,   R$ 3.100 /Mês  ,  2   Quartos  ,"Avenida Fagundes Filho - Vila Monte Alegre, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  70   m²  , Vila Monte Alegre,Avenida Fagundes Filho
268,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  , Vila Olímpia,"Rua Helena, 52"
269,   R$ 1.000 /Mês  ,  1   Quarto  ,"Rua Doutor Cesário Mota Júnior - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  26   m²  , Vila Buarque,Rua Doutor Cesário Mota Júnior
270,   R$ 2.700 /Mês  ,  3   Quartos  ,"Avenida Albert Bartholome, 472 - Jardim das Vertentes, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  82   m²  , Jardim das Vertentes,"Avenida Albert Bartholome, 472"
271,   R$ 700 /Mês  ,  1   Quarto  ,"Rua Humaitá, 619 - Bela Vista, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  32   m²  , Bela Vista,"Rua Humaitá, 619"
272,   R$ 2.200 /Mês  ,  1   Quarto  ,"Rua Itararé - Bela Vista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  48   m²  , Bela Vista,Rua Itararé
273,   R$ 6.000 /Mês  ,  1   Quarto  ,"Rua Eugênio de Medeiros, 288 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  60   m²  , Pinheiros,"Rua Eugênio de Medeiros, 288"
274,   R$ 2.290 /Mês  ,  2   Quartos  ,"Avenida Onze de Junho, 730 - Vila Clementino, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  53   m²  , Vila Clementino,"Avenida Onze de Junho, 730"
275,   R$ 7.985 /Mês    R$ 1.499.800   ,  3   Quartos  ,"Rua Nova York, 539 - Brooklin Paulista, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  120   m²  , Brooklin Paulista,"Rua Nova York, 539"
276,   R$ 2.190 /Mês  ,  1   Quarto  ,"Rua Cristiano Viana, 950 - Cerqueira César, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  25   m²  , Cerqueira César,"Rua Cristiano Viana, 950"
277,   R$ 2.100 /Mês  ,  2   Quartos  ,"Rua João Miguel Jarra, 298 - Vila Madalena, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  48   m²  , Vila Madalena,"Rua João Miguel Jarra, 298"
278,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Bacaetava, 66 - Vila Gertrudes, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  97   m²  , Vila Gertrudes,"Rua Bacaetava, 66"
279,   R$ 4.500 /Mês  ,  2   Quartos  ,"Rua João Cachoeira, 250 - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  90   m²  , Vila Nova Conceição,"Rua João Cachoeira, 250"
280,   R$ 2.500 /Mês    R$ 750.000   ,  2   Quartos  ,"Rua Fidalga, 720 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  62   m²  , Pinheiros,"Rua Fidalga, 720"
281,   R$ 2.500 /Mês  ,  1   Quarto  ,"Rua Aurora, 756 - Santa Efigênia, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  , Santa Efigênia,"Rua Aurora, 756"
282,   R$ 1.550 /Mês  ,  2   Quartos  ,"Avenida Escola Politécnica, 2200 - Rio Pequeno, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  57   m²  , Rio Pequeno,"Avenida Escola Politécnica, 2200"
283,   R$ 4.200 /Mês    R$ 1.059.990   ,  3   Quartos  ,"Avenida Doutor Mário Vilas Boas Rodrigues, 161 - Jardim Dom Bosco, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  130   m²  , Jardim Dom Bosco,"Avenida Doutor Mário Vilas Boas Rodrigues, 161"
284,   R$ 4.400 /Mês  ,  3   Quartos  ,"Rua Arruda Alvim - Pinheiros, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  120   m²  , Pinheiros,Rua Arruda Alvim
285,   R$ 5.785 /Mês  ,  3   Quartos  ,"Rua Itapicuru, 380 - Perdizes, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  116   m²  , Perdizes,"Rua Itapicuru, 380"
286,   R$ 2.700 /Mês  ,  1   Quarto  ,"Rua da Consolação, 1515 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  , Consolação,"Rua da Consolação, 1515"
287,   R$ 2.000 /Mês  ,  2   Quartos  ,"Rua Comendador Miguel Calfat, 62 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  56   m²  , Vila Nova Conceição,"Rua Comendador Miguel Calfat, 62"
288,   R$ 4.700 /Mês  ,  3   Quartos  ,"Rua Carlos Weber, 499 - Vila Leopoldina, São Paulo - SP",  4   Banheiros  ,  2   Vagas  ,  125   m²  , Vila Leopoldina,"Rua Carlos Weber, 499"
289,   R$ 2.500 /Mês  ,  3   Quartos  ,"Rua Diana, 675 - Perdizes, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  94   m²  , Perdizes,"Rua Diana, 675"
