,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
34,   R$ 3.100 /Mês  ,  2   Quartos  ,"Avenida Fagundes Filho - Vila Monte Alegre, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  70   m²  ,,
35,   R$ 2.800 /Mês  ,  2   Quartos  ,"Rua Martim Francisco, 67 - Santa Cecília, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  50   m²  ,,
36,   R$ 2.500 /Mês  ,  3   Quartos  ,"Rua Diana, 675 - Perdizes, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  94   m²  ,,
37,   R$ 1.700 /Mês  ,  2   Quartos  ,"Avenida Santa Catarina, 1531 - Vila Mascote, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  54   m²  ,,
38,   R$ 1.500 /Mês  ,  1   Quarto  ,"Rua Doutor Seng, 152 - Bela Vista, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  36   m²  ,,
39,   R$ 5.500 /Mês  ,  2   Quartos  ,"Rua Henri Dunant, 792 - Santo Amaro, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  78   m²  ,,
40,   R$ 4.500 /Mês  ,  2   Quartos  ,"Rua Dona Antônia de Queirós, 505 - Consolação, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  60   m²  ,,
41,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  ,  276   m²  ,,
42,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Bacaetava, 66 - Vila Gertrudes, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  97   m²  ,,
43,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  80   m²  ,,
44,   R$ 4.985 /Mês  ,  2   Quartos  ,"Rua Silva Correia, 125 - Vila Nova Conceição, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  86   m²  ,,
45,   R$ 1.400 /Mês  ,  2   Quartos  ,"Rua João Ferreira de Abreu - Vila Arriete, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  45   m²  ,,
46,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  33   m²  ,,
47,   R$ 1.900 /Mês  ,  1   Quarto  ,"Pinheiros, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  25   m²  ,,
48,   R$ 1.800 /Mês  ,  3   Quartos  ,"Avenida Yervant Kissajikian - Vila Constança, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  60   m²  ,,
49,   R$ 850 /Mês  ,  1   Quarto  ,"Rua Plínio Salgado, 245 - Jardim Peri Peri, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  15   m²  ,,
50,   R$ 1.400 /Mês  ,  1   Quarto  ,"Rua Butantã, 408 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
51,   R$ 2.000 /Mês  ,  2   Quartos  ,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  70   m²  ,,
52,   R$ 2.900 /Mês  ,  2   Quartos  ,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  --   Vaga  ,  75   m²  ,,
53,   R$ 9.990 /Mês    R$ 2.199.900   ,  3   Quartos  ,"Rua Pensilvânia, 442 - Cidade Monções, São Paulo - SP",  3   Banheiros  ,  3   Vagas  ,  156   m²  ,,
54,   R$ 3.000 /Mês  ,  2   Quartos  ,"Rua Teodoro Sampaio, 498 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  75   m²  ,,
55,   R$ 6.385 /Mês  ,  2   Quartos  ,"Rua Casa do Ator, 996 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  100   m²  ,,
56,   R$ 3.500 /Mês  ,  2   Quartos  ,"Rua João Cachoeira - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  90   m²  ,,
57,   R$ 7.485 /Mês  ,  2   Quartos  ,"Rua Manuel Guedes, 264 - Jardim Europa, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  110   m²  ,,
58,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Paris, 415 - Sumaré, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
59,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  54   m²  ,,
60,   R$ 6.000 /Mês  ,  3   Quartos  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  3   Banheiros  ,  2   Vagas  ,  100   m²  ,,
61,   R$ 5.485 /Mês  ,  3   Quartos  ,"Rua Nebraska, 420 - Brooklin Novo, São Paulo - SP",  1   Banheiro  ,  3   Vagas  ,  121   m²  ,,
62,   R$ 2.002 /Mês  ,  1   Quarto  ,"Rua Brás Cardoso, , 654 - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  42   m²  ,,
63,   R$ 1.100 /Mês  ,  1   Quarto  ,"Avenida Afonso Mariano Fagundes, 725 - Saúde, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  12   m²  ,,
64,   R$ 1.430 /Mês  ,  2   Quartos  ,"Rua Nossa Senhora do Bom Conselho, 451 - Chácara Nossa Senhora do Bom Conselho, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  54   m²  ,,
65,   R$ 1.150 /Mês  ,  2   Quartos  ,"Rua Inocêncio de Camargo, 41 - Pedreira, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  46   m²  ,,
66,   R$ 3.100 /Mês  ,  3   Quartos  ,"Avenida Bernardino de Campos, 210 - Paraíso, São Paulo - SP",  3   Banheiros  ,  1   Vaga  ,  128   m²  ,,
67,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  ,  60   m²  ,,
68,   R$ 3.800 /Mês    R$ 720.000   ,  1   Quarto  ,"Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  44   m²  ,,
69,   R$ 3.500 /Mês    R$ 1.100.000   ,  2   Quartos  ,"Alameda Barros - Santa Cecília, São Paulo - SP",  2   Banheiros  ,  2   Vagas  ,  78   m²  ,,
70,   R$ 1.050 /Mês  ,  1   Quarto  ,"Cidade Vargas, São Paulo - SP",  1   Banheiro  ,  --   Vaga  ,  10   m²  ,,
71,   R$ 1.500 /Mês    R$ 310.000   ,  3   Quartos  ,"Rua Jorge Ogushi - Jardim Vila Formosa, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  63   m²  ,,
72,   R$ 2.002 /Mês  ,  1   Quarto  ,"Rua Brás Cardoso, , 654 - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  42   m²  ,,
73,   R$ 2.300 /Mês  ,  1   Quarto  ,"Praça da República, 401 - República, São Paulo - SP",  1   Banheiro  ,  1   Vaga  ,  30   m²  ,,
74,   R$ 3.100 /Mês  ,  2   Quartos  ,"Avenida Fagundes Filho - Vila Monte Alegre, São Paulo - SP",  1   Banheiro  ,  2   Vagas  ,  70   m²  ,,
