,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua,zona
666,15000,4.0,"Rua Morais de Barros, 770 - Campo Belo, São Paulo - SP",7.0,4.0,390, Campo Belo,"Rua Morais de Barros, 770",Sul
672,2500,3.0,"Vila da Saúde, São Paulo - SP",1.0,1.0,110, SP,"Vila da Saúde, São Paulo",Sul
673,20000,3.0,"Alameda Jauaperi - Indianópolis, São Paulo - SP",3.0,4.0,324, Indianópolis,Alameda Jauaperi,Sul
677,3800,2.0,"Rua Santa Justina - Vila Olímpia, São Paulo - SP",1.0,0.0,86, Vila Olímpia,Rua Santa Justina,Sul
679,2300,1.0,"Avenida Iraí, 530 - Indianópolis, São Paulo - SP",1.0,0.0,30, Indianópolis,"Avenida Iraí, 530",Sul
693,1962,1.0,"Rua Flórida, 1790 - Cidade Monções, São Paulo - SP",1.0,1.0,40, Cidade Monções,"Rua Flórida, 1790",Sul
694,2200,1.0,"Avenida Miruna, , 399 - Indianópolis, São Paulo - SP",1.0,1.0,37, Indianópolis,"Avenida Miruna, , 399",Sul
696,1900,1.0,"Avenida Doutor Cardoso de Melo, 630 - Vila Olímpia, São Paulo - SP",1.0,1.0,43, Vila Olímpia,"Avenida Doutor Cardoso de Melo, 630",Sul
698,2500,1.0,"Avenida Ibijaú, , 364 - Moema, São Paulo - SP",1.0,1.0,37, Moema,"Avenida Ibijaú, , 364",Sul
699,1800,1.0,"Avenida Moema, 177 - Moema, São Paulo - SP",1.0,1.0,52, Moema,"Avenida Moema, 177",Sul
700,1300,1.0,"Alameda dos Anapurus, 1661 - Indianópolis, São Paulo - SP",1.0,1.0,33, Indianópolis,"Alameda dos Anapurus, 1661",Sul
701,2450,1.0,"Avenida Doutor Cardoso de Melo, 630 - Vila Olímpia, São Paulo - SP",1.0,1.0,45, Vila Olímpia,"Avenida Doutor Cardoso de Melo, 630",Sul
705,1300,1.0,"Rua Nazira Carone, 9 - Jardim Ampliação, São Paulo - SP",1.0,1.0,40, Jardim Ampliação,"Rua Nazira Carone, 9",Sul
706,1670,1.0,"Rua Pedroso Alvarenga, 1088 - Itaim Bibi, São Paulo - SP",1.0,1.0,45, Itaim Bibi,"Rua Pedroso Alvarenga, 1088",Sul
710,2800,1.0,"Avenida Moema, 177 - Moema, São Paulo - SP",1.0,1.0,52, Moema,"Avenida Moema, 177",Sul
711,1500,1.0,"Rua Joaquim Floriano, 209 - Itaim Bibi, São Paulo - SP",1.0,1.0,35, Itaim Bibi,"Rua Joaquim Floriano, 209",Sul
713,3200,1.0,"Rua Vieira de Morais, 2098 - Campo Belo, São Paulo - SP",1.0,0.0,38, Campo Belo,"Rua Vieira de Morais, 2098",Sul
715,3550,2.0,"Alameda dos Jurupis, 800 - Indianópolis, São Paulo - SP",1.0,2.0,70, Indianópolis,"Alameda dos Jurupis, 800",Sul
716,1800,2.0,"Rua Sansão Alves dos Santos, 373 - Cidade Monções, São Paulo - SP",1.0,1.0,45, Cidade Monções,"Rua Sansão Alves dos Santos, 373",Sul
719,1540,1.0,"Rua Pintassilgo, , 12 - Vila Uberabinha, São Paulo - SP",1.0,1.0,42, Vila Uberabinha,"Rua Pintassilgo, , 12",Sul
723,3800,1.0,"Rua Alvorada, 676 - Vila Olímpia, São Paulo - SP",1.0,0.0,26, Vila Olímpia,"Rua Alvorada, 676",Sul
724,1330,1.0,"Avenida Rouxinol, 57 - Indianópolis, São Paulo - SP",1.0,2.0,25, Indianópolis,"Avenida Rouxinol, 57",Sul
726,1210,1.0,"Avenida Ibijaú, 368 - Moema, São Paulo - SP",1.0,1.0,25, Moema,"Avenida Ibijaú, 368",Sul
727,1500,1.0,"Avenida Rouxinol, 174 - Indianópolis, São Paulo - SP",1.0,1.0,42, Indianópolis,"Avenida Rouxinol, 174",Sul
728,2820,2.0,"Rua Alvorada, 1001 - Vila Olímpia, São Paulo - SP",1.0,1.0,55, Vila Olímpia,"Rua Alvorada, 1001",Sul
729,3000,1.0,"Rua Michigan, 531 - Cidade Monções, São Paulo - SP",2.0,1.0,48, Cidade Monções,"Rua Michigan, 531",Sul
732,3200,4.0,"Avenida Washington Luís, 1527 - Santo Amaro, São Paulo - SP",2.0,2.0,160, Santo Amaro,"Avenida Washington Luís, 1527",Sul
733,2800,1.0,"Rua Monte Aprazível, 109 - Vila Nova Conceição, São Paulo - SP",1.0,1.0,32, Vila Nova Conceição,"Rua Monte Aprazível, 109",Sul
734,6000,2.0,"Rua Pedroso Alvarenga, 401 - Itaim Bibi, São Paulo - SP",2.0,1.0,110, Itaim Bibi,"Rua Pedroso Alvarenga, 401",Sul
735,2300,2.0,"Rua Visconde de Inhaúma - Vila da Saúde, São Paulo - SP",1.0,1.0,50, Vila da Saúde,Rua Visconde de Inhaúma,Sul
736,3600,2.0,"Rua Santo Arcádio, 43 - Jardim das Acácias, São Paulo - SP",1.0,1.0,64, Jardim das Acácias,"Rua Santo Arcádio, 43",Sul
738,8000,2.0,"Alameda Jauaperi, 1467 - Moema, São Paulo - SP",5.0,4.0,287, Moema,"Alameda Jauaperi, 1467",Sul
740,3600,2.0,"Rua do Rocio, 59 - Vila Olímpia, São Paulo - SP",2.0,1.0,70, Vila Olímpia,"Rua do Rocio, 59",Sul
742,13000,3.0,"Rua Barão de Jaceguai - Campo Belo, São Paulo - SP",5.0,4.0,350, Campo Belo,Rua Barão de Jaceguai,Sul
745,6500,6.0,"Rua Doutor Manuel Carlos de Figueiredo Ferraz, , 185 - Jardim Morumbi, São Paulo - SP",4.0,7.0,450, Jardim Morumbi,"Rua Doutor Manuel Carlos de Figueiredo Ferraz, , 185",Sul
750,5000,3.0,"Rua Tauari, , 79 - Santo Amaro, São Paulo - SP",2.0,3.0,215, Santo Amaro,"Rua Tauari, , 79",Sul
751,4000,4.0,"Rua Aramis Dalla Torre - Jardim Represa, São Paulo - SP",5.0,7.0,300, Jardim Represa,Rua Aramis Dalla Torre,Sul
754,5000,3.0,"Rua Nicolau Barreto - Vila Cordeiro, São Paulo - SP",5.0,2.0,160, Vila Cordeiro,Rua Nicolau Barreto,Sul
759,7000,3.0,"Rua Sônia Ribeiro, , 218 - Campo Belo, São Paulo - SP",4.0,2.0,127, Campo Belo,"Rua Sônia Ribeiro, , 218",Sul
761,5000,2.0,"Avenida Doutor Cardoso de Melo, 1046 - Vila Olímpia, São Paulo - SP",3.0,2.0,81, Vila Olímpia,"Avenida Doutor Cardoso de Melo, 1046",Sul
763,1650,3.0,"Avenida Giovanni Gronchi, 6675 - Vila Andrade, São Paulo - SP",2.0,2.0,65, Vila Andrade,"Avenida Giovanni Gronchi, 6675",Sul
764,9500,3.0,"Rua Verbo Divino, 1061 - Chácara Santo Antônio (Zona Sul), São Paulo - SP",5.0,4.0,186, Chácara Santo Antônio (Zona Sul),"Rua Verbo Divino, 1061",Sul
768,3000,1.0,"Rua São Tomé, 73 - Vila Olímpia, São Paulo - SP",1.0,1.0,50, Vila Olímpia,"Rua São Tomé, 73",Sul
771,2850,2.0,"Praça General Gentil Falcão, 175 - Cidade Monções, São Paulo - SP",2.0,1.0,70, Cidade Monções,"Praça General Gentil Falcão, 175",Sul
779,23000,4.0,"Chácara Flora, São Paulo - SP",5.0,10.0,759, SP,"Chácara Flora, São Paulo",Sul
780,10000,3.0,"Morumbi, São Paulo - SP",3.0,3.0,540, SP,"Morumbi, São Paulo",Sul
781,22000,3.0,"Rua das Barcas, 750 - Jardim dos Estados, São Paulo - SP",8.0,6.0,739, Jardim dos Estados,"Rua das Barcas, 750",Sul
782,16000,4.0,"Rua Diogo Pereira, , 1 - Super Quadra Morumbi, São Paulo - SP",5.0,10.0,761, Super Quadra Morumbi,"Rua Diogo Pereira, , 1",Sul
784,10000,6.0,"Rua Guararapes, 1234 - Brooklin Paulista, São Paulo - SP",6.0,6.0,300, Brooklin Paulista,"Rua Guararapes, 1234",Sul
788,7000,3.0,"Rua Darwin - Jardim Santo Amaro, São Paulo - SP",5.0,2.0,244, Jardim Santo Amaro,Rua Darwin,Sul
791,25000,4.0,"Rua Sônia Ribeiro - Brooklin Paulista, São Paulo - SP",6.0,4.0,600, Brooklin Paulista,Rua Sônia Ribeiro,Sul
792,6500,4.0,"Rua Visconde de Porto Seguro - Jardim Cordeiro, São Paulo - SP",6.0,3.0,260, Jardim Cordeiro,Rua Visconde de Porto Seguro,Sul
795,4000,2.0,"Rua Casa do Ator - Vila Olímpia, São Paulo - SP",2.0,2.0,165, Vila Olímpia,Rua Casa do Ator,Sul
800,30000,4.0,"Avenida Aratãs - Indianópolis, São Paulo - SP",7.0,5.0,490, Indianópolis,Avenida Aratãs,Sul
803,35000,5.0,"Itaim Bibi, São Paulo - SP",3.0,2.0,458, SP,"Itaim Bibi, São Paulo",Sul
804,3706,2.0,"Rua Santa Justina, 210 - Vila Olímpia, São Paulo - SP",1.0,1.0,40, Vila Olímpia,"Rua Santa Justina, 210",Sul
805,1620,1.0,"Avenida Rouxinol, 77 - Indianópolis, São Paulo - SP",1.0,1.0,44, Indianópolis,"Avenida Rouxinol, 77",Sul
807,1400,1.0,"Rua Verbo Divino, 1323 - Chácara Santo Antônio (Zona Sul), São Paulo - SP",1.0,1.0,30, Chácara Santo Antônio (Zona Sul),"Rua Verbo Divino, 1323",Sul
808,3160,2.0,"Avenida dos Imarés, 317 - Indianópolis, São Paulo - SP",1.0,2.0,57, Indianópolis,"Avenida dos Imarés, 317",Sul
809,970,1.0,"Rua Araguari, 711 - Vila Uberabinha, São Paulo - SP",1.0,1.0,32, Vila Uberabinha,"Rua Araguari, 711",Sul
810,1000,1.0,"Alameda dos Anapurus, 1661 - Indianópolis, São Paulo - SP",1.0,1.0,33, Indianópolis,"Alameda dos Anapurus, 1661",Sul
813,3400,1.0,"Rua João Cachoeira, , 1577 - Vila Nova Conceição, São Paulo - SP",1.0,1.0,40, Vila Nova Conceição,"Rua João Cachoeira, , 1577",Sul
816,3000,1.0,"Rua Casa do Ator, 99 - Vila Olímpia, São Paulo - SP",1.0,0.0,30, Vila Olímpia,"Rua Casa do Ator, 99",Sul
823,2500,1.0,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo - SP",1.0,1.0,35, Vila Olímpia,Avenida Doutor Cardoso de Melo,Sul
831,2600,1.0,"Avenida Doutor Cardoso de Melo, 426 - Vila Olímpia, São Paulo - SP",1.0,1.0,45, Vila Olímpia,"Avenida Doutor Cardoso de Melo, 426",Sul
832,2600,2.0,"Rua Santo Arcádio, 43 - Jardim das Acácias, São Paulo - SP",1.0,1.0,64, Jardim das Acácias,"Rua Santo Arcádio, 43",Sul
833,900,2.0,"Rua das Perobeiras - Chácara Santa Maria, São Paulo - SP",1.0,1.0,45, Chácara Santa Maria,Rua das Perobeiras,Sul
834,2680,1.0,"Rua Doutor Renato Paes de Barros, 550 - Itaim Bibi, São Paulo - SP",1.0,1.0,54, Itaim Bibi,"Rua Doutor Renato Paes de Barros, 550",Sul
838,2100,1.0,"Rua Guararapes, 265 - Brooklin Paulista, São Paulo - SP",1.0,1.0,52, Brooklin Paulista,"Rua Guararapes, 265",Sul
839,12000,4.0,"Rua Luiz Martins de Araújo - Jardim dos Estados, São Paulo - SP",6.0,3.0,340, Jardim dos Estados,Rua Luiz Martins de Araújo,Sul
841,8900,4.0,"Rua Conceição de Monte Alegre - Cidade Monções, São Paulo - SP",4.0,4.0,370, Cidade Monções,Rua Conceição de Monte Alegre,Sul
846,4500,3.0,"Rua Otávio Tarquínio de Sousa, 606 - Campo Belo, São Paulo - SP",4.0,2.0,160, Campo Belo,"Rua Otávio Tarquínio de Sousa, 606",Sul
848,25000,4.0,"Rua Major Newton de Feliciano - Jardim Aurélia, São Paulo - SP",6.0,6.0,480, Jardim Aurélia,Rua Major Newton de Feliciano,Sul
850,900,1.0,"Rua Lino Coutinho - Ipiranga, São Paulo - SP",1.0,0.0,25, Ipiranga,Rua Lino Coutinho,Sul
853,30000,4.0,"Rua Heitor Portugal - Retiro Morumbi, São Paulo - SP",6.0,10.0,1000, Retiro Morumbi,Rua Heitor Portugal,Sul
854,10000,4.0,"Rua Américo Brasiliense - Chácara Santo Antônio (Zona Sul), São Paulo - SP",6.0,4.0,500, Chácara Santo Antônio (Zona Sul),Rua Américo Brasiliense,Sul
855,23000,4.0,"Rua Miranda Guerra - Jardim Petrópolis, São Paulo - SP",5.0,8.0,501, Jardim Petrópolis,Rua Miranda Guerra,Sul
856,36893,4.0,"Rua Miranda Guerra - Jardim Petrópolis, São Paulo - SP",5.0,6.0,720, Jardim Petrópolis,Rua Miranda Guerra,Sul
859,20000,4.0,"Rua Heron Domingues - Jardim Cordeiro, São Paulo - SP",8.0,8.0,625, Jardim Cordeiro,Rua Heron Domingues,Sul
860,1050,1.0,"Rua Manuel de Teffé, 348 - Jardim Satélite, São Paulo - SP",1.0,1.0,35, Jardim Satélite,"Rua Manuel de Teffé, 348",Sul
862,3500,3.0,"Rua dos Beija-Flores, 195 - Vila Parque Jabaquara, São Paulo - SP",3.0,4.0,224, Vila Parque Jabaquara,"Rua dos Beija-Flores, 195",Sul
863,20000,4.0,"Jardim Cordeiro, São Paulo - SP",7.0,6.0,625, SP,"Jardim Cordeiro, São Paulo",Sul
864,6000,3.0,"Rua Doutor Mário Vicente - Vila Dom Pedro I, São Paulo - SP",3.0,5.0,195, Vila Dom Pedro I,Rua Doutor Mário Vicente,Sul
866,25000,4.0,"Rua Zacarias de Gois - Parque Colonial, São Paulo - SP",7.0,6.0,565, Parque Colonial,Rua Zacarias de Gois,Sul
867,35000,4.0,"Chácara Santo Antônio (Zona Sul), São Paulo - SP",6.0,5.0,420, SP,"Chácara Santo Antônio (Zona Sul), São Paulo",Sul
868,55000,4.0,"Vila Morumbi, São Paulo - SP",7.0,10.0,711, SP,"Vila Morumbi, São Paulo",Sul
870,15000,4.0,"Rua Antônio Carlos Salles Filho - Residencial Morumbi, São Paulo - SP",6.0,3.0,411, Residencial Morumbi,Rua Antônio Carlos Salles Filho,Sul
874,22000,3.0,"Jardim dos Estados, São Paulo - SP",8.0,5.0,740, SP,"Jardim dos Estados, São Paulo",Sul
879,13500,4.0,"Avenida Portugal, 277 - Brooklin Paulista, São Paulo - SP",5.0,3.0,255, Brooklin Paulista,"Avenida Portugal, 277",Sul
880,25103,3.0,"Indianópolis, São Paulo - SP",5.0,3.0,210, SP,"Indianópolis, São Paulo",Sul
881,20000,4.0,"Rua Romilda Margarita Gabriel - Itaim Bibi, São Paulo - SP",5.0,2.0,500, Itaim Bibi,Rua Romilda Margarita Gabriel,Sul
882,20000,3.0,"Alameda Jauaperi, 50 - Indianópolis, São Paulo - SP",4.0,3.0,324, Indianópolis,"Alameda Jauaperi, 50",Sul
887,40000,3.0,"Santo Amaro, São Paulo - SP",5.0,0.0,511, SP,"Santo Amaro, São Paulo",Sul
889,10000,2.0,"Avenida Rouxinol - Indianópolis, São Paulo - SP",2.0,1.0,82, Indianópolis,Avenida Rouxinol,Sul
890,6500,3.0,"Rua Barão de Jaceguai - Campo Belo, São Paulo - SP",4.0,3.0,129, Campo Belo,Rua Barão de Jaceguai,Sul
892,7700,1.0,"Rua Elvira Ferraz, 250 - Vila Olímpia, São Paulo - SP",1.0,1.0,54, Vila Olímpia,"Rua Elvira Ferraz, 250",Sul
893,1500,1.0,"Alameda Jauaperi, , 1083 - Moema, São Paulo - SP",1.0,1.0,35, Moema,"Alameda Jauaperi, , 1083",Sul
896,1250,1.0,"Rua Nazira Carone, 9 - Jardim Ampliação, São Paulo - SP",1.0,1.0,35, Jardim Ampliação,"Rua Nazira Carone, 9",Sul
897,1500,1.0,"Rua Pedroso Alvarenga, 543 - Itaim Bibi, São Paulo - SP",1.0,1.0,32, Itaim Bibi,"Rua Pedroso Alvarenga, 543",Sul
898,7000,1.0,"Rua Elvira Ferraz, 250 - Vila Olímpia, São Paulo - SP",1.0,1.0,42, Vila Olímpia,"Rua Elvira Ferraz, 250",Sul
901,1450,1.0,"Rua Professor Carlos de Carvalho, 108 - Itaim Bibi, São Paulo - SP",1.0,1.0,33, Itaim Bibi,"Rua Professor Carlos de Carvalho, 108",Sul
903,3300,1.0,"Rua Leopoldo Couto Magalhães Júnior, 550 - Itaim Bibi, São Paulo - SP",1.0,1.0,50, Itaim Bibi,"Rua Leopoldo Couto Magalhães Júnior, 550",Sul
906,3400,1.0,"Rua Urussuí - Itaim Bibi, São Paulo - SP",1.0,1.0,42, Itaim Bibi,Rua Urussuí,Sul
907,1700,1.0,"Rua Fidêncio Ramos, 420 - Vila Olímpia, São Paulo - SP",1.0,1.0,31, Vila Olímpia,"Rua Fidêncio Ramos, 420",Sul
908,2000,1.0,"Avenida Rouxinol, , 174 - Indianópolis, São Paulo - SP",1.0,1.0,42, Indianópolis,"Avenida Rouxinol, , 174",Sul
922,1500,1.0,"Rua Constantino de Sousa, 1372 - Campo Belo, São Paulo - SP",1.0,0.0,20, Campo Belo,"Rua Constantino de Sousa, 1372",Sul
