,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua,zona
997,15000,3.0,"Rua João Álvares Soares - Campo Belo, São Paulo - SP",5.0,3.0,310, Campo Belo,Rua João Álvares Soares,Sul
998,16000,4.0,"Rua Diogo Pereira, , 1 - Morumbi, São Paulo - SP",5.0,10.0,761, Morumbi,"Rua Diogo Pereira, , 1",Sul
999,6000,3.0,"Rua Conceição de Monte Alegre - Brooklin, São Paulo - SP",2.0,2.0,200, Brooklin,Rua Conceição de Monte Alegre,Sul
1001,38000,4.0,"Rua Miranda Guerra - Jardim Petrópolis, São Paulo - SP",6.0,6.0,747, Jardim Petrópolis,Rua Miranda Guerra,Sul
1002,50000,4.0,"Rua Carlo Rainaldi - Jardim dos Estados, São Paulo - SP",2.0,6.0,650, Jardim dos Estados,Rua Carlo Rainaldi,Sul
1003,8000,4.0,"Rua Artur Dias - Jardim da Saude, São Paulo - SP",5.0,7.0,609, Jardim da Saude,Rua Artur Dias,Sul
1005,45000,4.0,"Jardim Petrópolis, São Paulo - SP",6.0,6.0,720, SP,"Jardim Petrópolis, São Paulo",Sul
1008,650,1.0,"Rua Luís Stolb, 40 - Jardim Vilas Boas, São Paulo - SP",1.0,0.0,35, Jardim Vilas Boas,"Rua Luís Stolb, 40",Sul
1011,25000,4.0,"Rua Miranda Guerra, 40 - Jardim Petrópolis, São Paulo - SP",7.0,7.0,547, Jardim Petrópolis,"Rua Miranda Guerra, 40",Sul
1014,18000,4.0,"Avenida Guarapiranga, 1783 - Guarapiranga, São Paulo - SP",6.0,6.0,721, Guarapiranga,"Avenida Guarapiranga, 1783",Sul
1015,8000,3.0,"Varginha, São Paulo - SP",3.0,0.0,2000, SP,"Varginha, São Paulo",Sul
1018,5500,2.0,"Rua Henrique Hessel - Recanto Campo Belo, São Paulo - SP",3.0,40.0,400, Recanto Campo Belo,Rua Henrique Hessel,Sul
1019,4000,2.0,"Rua Benvinda Cândida - Chácara Bosque do Sol, São Paulo - SP",3.0,5.0,250, Chácara Bosque do Sol,Rua Benvinda Cândida,Sul
1022,4900,3.0,"Rua Canário - Moema, São Paulo - SP",3.0,1.0,140, Moema,Rua Canário,Sul
1023,24900,3.0,"Rua Haddock Lobo, 0 - Jardins, São Paulo - SP",5.0,4.0,228, Jardins,"Rua Haddock Lobo, 0",Sul
1025,4520,2.0,"Avenida Portugal - Brooklin, São Paulo - SP",2.0,1.0,130, Brooklin,Avenida Portugal,Sul
1028,5000,1.0,"Rua Baluarte - Vila Olímpia, São Paulo - SP",1.0,1.0,62, Vila Olímpia,Rua Baluarte,Sul
1029,20000,4.0,"Avenida Jandira - Moema, São Paulo - SP",4.0,8.0,575, Moema,Avenida Jandira,Sul
1030,15000,5.0,"Avenida Washington Luís - Chácara Flora, São Paulo - SP",4.0,4.0,560, Chácara Flora,Avenida Washington Luís,Sul
1036,21000,1.0,"Rua Elvira Ferraz, 250 - Vila Olímpia, São Paulo - SP",2.0,2.0,110, Vila Olímpia,"Rua Elvira Ferraz, 250",Sul
1037,65000,4.0,"Alameda dos Guaramomis, 404 - Moema, São Paulo - SP",6.0,8.0,470, Moema,"Alameda dos Guaramomis, 404",Sul
1038,20000,3.0,"Alameda Jauaperi - Moema, São Paulo - SP",3.0,4.0,324, Moema,Alameda Jauaperi,Sul
1040,65000,4.0,"Moema, São Paulo - SP",7.0,8.0,583, SP,"Moema, São Paulo",Sul
1041,14990,3.0,"Rua Edson, 1172 - Campo Belo, São Paulo - SP",3.0,2.0,264, Campo Belo,"Rua Edson, 1172",Sul
1045,5900,1.0,"Rua Elvira Ferraz, 250 - Itaim Bibi, São Paulo - SP",1.0,1.0,42, Itaim Bibi,"Rua Elvira Ferraz, 250",Sul
1047,550,5.0,"Rua Ribeiro do Vale, 1458 - Itaim Bibi, São Paulo - SP",4.0,0.0,12, Itaim Bibi,"Rua Ribeiro do Vale, 1458",Sul
1048,500,1.0,"Rua Visconde de Ourem, 210 - Vila Congonhas, São Paulo - SP",1.0,0.0,12, Vila Congonhas,"Rua Visconde de Ourem, 210",Sul
1049,23000,1.0,"Rua Elvira Ferraz, 250 - Vila Olímpia, São Paulo - SP",2.0,3.0,105, Vila Olímpia,"Rua Elvira Ferraz, 250",Sul
1050,5000,1.0,"Rua Tenente Negrão - Itaim Bibi, São Paulo - SP",1.0,1.0,40, Itaim Bibi,Rua Tenente Negrão,Sul
1051,2300,1.0,"Rua Texas, 1487 - Vila Olímpia, São Paulo - SP",1.0,1.0,24, Vila Olímpia,"Rua Texas, 1487",Sul
1052,1400,1.0,"Rua Verbo Divino, 1323 - Chácara Santo Antônio, São Paulo - SP",1.0,1.0,30, Chácara Santo Antônio,"Rua Verbo Divino, 1323",Sul
1053,1960,1.0,"Rua Franz Schubert, 156 - Itaim Bibi, São Paulo - SP",1.0,1.0,35, Itaim Bibi,"Rua Franz Schubert, 156",Sul
1054,2600,1.0,"Avenida Moema, 177 - Moema, São Paulo - SP",1.0,1.0,52, Moema,"Avenida Moema, 177",Sul
1055,1880,1.0,"Alameda dos Anapurus, 1661 - Moema, São Paulo - SP",1.0,1.0,33, Moema,"Alameda dos Anapurus, 1661",Sul
1057,1760,1.0,"Avenida Moema, 177 - Moema, São Paulo - SP",1.0,1.0,52, Moema,"Avenida Moema, 177",Sul
1058,1200,1.0,"Alameda dos Anapurus, , 1661 - Moema, São Paulo - SP",1.0,1.0,33, Moema,"Alameda dos Anapurus, , 1661",Sul
1059,3160,2.0,"Avenida dos Imarés, 317 - Moema, São Paulo - SP",1.0,2.0,57, Moema,"Avenida dos Imarés, 317",Sul
1060,1800,1.0,"Alameda Santos, 981 - Jardins, São Paulo - SP",1.0,1.0,29, Jardins,"Alameda Santos, 981",Sul
1061,4260,2.0,"Alameda dos Jurupis, , 800 - Moema, São Paulo - SP",1.0,2.0,70, Moema,"Alameda dos Jurupis, , 800",Sul
1063,2300,1.0,"Rua Texas, 1018 - Itaim Bibi, São Paulo - SP",1.0,1.0,33, Itaim Bibi,"Rua Texas, 1018",Sul
1064,3500,2.0,"Rua Texas, 1018 - Brooklin, São Paulo - SP",1.0,1.0,40, Brooklin,"Rua Texas, 1018",Sul
1065,2300,1.0,"Rua Texas, 1018 - Cidade Monções, São Paulo - SP",1.0,1.0,24, Cidade Monções,"Rua Texas, 1018",Sul
1066,2300,1.0,"Rua Texas, 1018 - Brooklin, São Paulo - SP",1.0,1.0,24, Brooklin,"Rua Texas, 1018",Sul
1067,2300,1.0,"Rua Texas, 1018 - Vila Olímpia, São Paulo - SP",1.0,1.0,33, Vila Olímpia,"Rua Texas, 1018",Sul
1086,1500,2.0,"Rua Professor Nicolau Maria Rossetti - Cidade Ademar, São Paulo - SP",1.0,1.0,95, Cidade Ademar,Rua Professor Nicolau Maria Rossetti,Sul
1088,3700,3.0,"Campo Belo, São Paulo - SP",2.0,1.0,110, SP,"Campo Belo, São Paulo",Sul
1089,2500,2.0,"Rua Antônio das Chagas - Chácara Santo Antônio, São Paulo - SP",2.0,1.0,112, Chácara Santo Antônio,Rua Antônio das Chagas,Sul
1092,3000,3.0,"Rua João Elias Calache - Jardim Prudência, São Paulo - SP",4.0,2.0,125, Jardim Prudência,Rua João Elias Calache,Sul
1094,3500,3.0,"Rua Arcipreste Ezequias - Ipiranga, São Paulo - SP",2.0,4.0,164, Ipiranga,Rua Arcipreste Ezequias,Sul
1099,1700,3.0,"Rua Aparecido Carlos Ferreira Correa, 270 - Vila Tolstoi, São Paulo - SP",4.0,2.0,160, Vila Tolstoi,"Rua Aparecido Carlos Ferreira Correa, 270",Sul
1100,3500,4.0,"Rua Guiratinga - Bosque da Saúde, São Paulo - SP",3.0,4.0,136, Bosque da Saúde,Rua Guiratinga,Sul
32,2400,2.0,"Rua Paris, 415 - Sumaré, São Paulo - SP",2.0,1.0,54, Sumaré,"Rua Paris, 415",Leste
57,2002,1.0,"Rua Brás Cardoso, , 654 - Vila Nova Conceição, São Paulo - SP",1.0,1.0,42, Vila Nova Conceição,"Rua Brás Cardoso, , 654",Leste
63,1050,1.0,"Cidade Vargas, São Paulo - SP",1.0,0.0,10, SP,"Cidade Vargas, São Paulo",Leste
64,1500,3.0,"Rua Jorge Ogushi - Jardim Vila Formosa, São Paulo - SP",1.0,1.0,63, Jardim Vila Formosa,Rua Jorge Ogushi,Leste
79,990,1.0,"Rua Chico Pontes, 184 - Carandiru, São Paulo - SP",1.0,0.0,24, Carandiru,"Rua Chico Pontes, 184",Leste
82,2500,3.0,"Rua Ipanema, 67 - Mooca, São Paulo - SP",2.0,1.0,63, Mooca,"Rua Ipanema, 67",Leste
109,1200,2.0,"Cidade Satélite Santa Bárbara, São Paulo - SP",1.0,1.0,47, SP,"Cidade Satélite Santa Bárbara, São Paulo",Leste
111,1200,1.0,"Rua Luís Góis, 2172 - Mirandópolis, São Paulo - SP",1.0,0.0,35, Mirandópolis,"Rua Luís Góis, 2172",Leste
142,1000,2.0,"Rua Ataualpa, 144 - Parque Novo Mundo, São Paulo - SP",1.0,0.0,60, Parque Novo Mundo,"Rua Ataualpa, 144",Leste
171,1500,2.0,"Rua Francisco Riva - Conjunto Habitacional Barreira Grande, São Paulo - SP",1.0,3.0,120, Conjunto Habitacional Barreira Grande,Rua Francisco Riva,Leste
172,900,1.0,"Rua Estado de Pernambuco, 317 - Jardim Egle, São Paulo - SP",1.0,0.0,45, Jardim Egle,"Rua Estado de Pernambuco, 317",Leste
183,4950,3.0,"Rua Paris - Sumaré, São Paulo - SP",3.0,4.0,177, Sumaré,Rua Paris,Leste
193,600,1.0,"Rua Timóteo, 49 - Jardim Paraguaçu, São Paulo - SP",1.0,0.0,30, Jardim Paraguaçu,"Rua Timóteo, 49",Leste
198,1900,1.0,"Rua Barretos, 363 - Alto da Mooca, São Paulo - SP",2.0,1.0,70, Alto da Mooca,"Rua Barretos, 363",Leste
209,8000,4.0,"Rua Maria Luísa de Pinho - Parque da Mooca, São Paulo - SP",4.0,6.0,520, Parque da Mooca,Rua Maria Luísa de Pinho,Leste
212,1600,2.0,"Vila São Francisco (Zona Leste), São Paulo - SP",3.0,2.0,137, SP,"Vila São Francisco (Zona Leste), São Paulo",Leste
214,780,1.0,"Rua Maria Antonieta - Vila Matilde, São Paulo - SP",1.0,0.0,50, Vila Matilde,Rua Maria Antonieta,Leste
217,1570,3.0,"Rua Lituânia - Alto da Mooca, São Paulo - SP",2.0,0.0,78, Alto da Mooca,Rua Lituânia,Leste
226,3500,4.0,"Vila Santo Estevão, São Paulo - SP",2.0,4.0,145, SP,"Vila Santo Estevão, São Paulo",Leste
245,9000,4.0,"Mooca, São Paulo - SP",6.0,6.0,608, SP,"Mooca, São Paulo",Leste
262,2600,2.0,"Rua Alves de Almeida - Chácara Belenzinho, São Paulo - SP",3.0,2.0,155, Chácara Belenzinho,Rua Alves de Almeida,Leste
274,1100,2.0,"Avenida do Oratório, 5923 - Jardim Ângela (Zona Leste), São Paulo - SP",2.0,1.0,122, Jardim Ângela (Zona Leste),"Avenida do Oratório, 5923",Leste
280,1700,1.0,"Avenida Jabaquara, 144 - Mirandópolis, São Paulo - SP",1.0,1.0,38, Mirandópolis,"Avenida Jabaquara, 144",Leste
283,990,1.0,"Rua Doutor Clementino - Belenzinho, São Paulo - SP",1.0,1.0,21, Belenzinho,Rua Doutor Clementino,Leste
310,1500,2.0,"Rua Lessing, 675 - Chácara Belenzinho, São Paulo - SP",1.0,1.0,60, Chácara Belenzinho,"Rua Lessing, 675",Leste
321,1600,2.0,"Rua Mariazinha Vicenzzoto - Jardim Aricanduva, São Paulo - SP",1.0,2.0,100, Jardim Aricanduva,Rua Mariazinha Vicenzzoto,Leste
324,4500,4.0,"Rua Pitangueiras - Mirandópolis, São Paulo - SP",3.0,1.0,144, Mirandópolis,Rua Pitangueiras,Leste
328,1300,1.0,"Vila Bertioga, São Paulo - SP",1.0,0.0,70, SP,"Vila Bertioga, São Paulo",Leste
331,850,1.0,"Rua dos Operários - Vila Brasilina, São Paulo - SP",1.0,0.0,98, Vila Brasilina,Rua dos Operários,Leste
341,1100,2.0,"Rua Sílvio de Sousa - Vila Santa Clara, São Paulo - SP",1.0,1.0,60, Vila Santa Clara,Rua Sílvio de Sousa,Leste
360,2250,3.0,"Rua Ibitirama, 1809 - Vila Prudente, São Paulo - SP",2.0,1.0,70, Vila Prudente,"Rua Ibitirama, 1809",Leste
366,2000,2.0,"Rua Uruçuca, 34 - Vila Antonina, São Paulo - SP",1.0,1.0,57, Vila Antonina,"Rua Uruçuca, 34",Leste
368,1000,1.0,"Rua Oriçanga, 14 - Mirandópolis, São Paulo - SP",1.0,1.0,30, Mirandópolis,"Rua Oriçanga, 14",Leste
388,1400,2.0,"Rua Tenente-Coronel Soares Neiva, 95 - Vila Aricanduva, São Paulo - SP",1.0,0.0,40, Vila Aricanduva,"Rua Tenente-Coronel Soares Neiva, 95",Leste
394,1800,2.0,"Rua José Zappi - Vila Prudente, São Paulo - SP",2.0,1.0,283, Vila Prudente,Rua José Zappi,Leste
396,7000,3.0,"Rua Pariquera-Açu, 78 - Indianópolis, São Paulo - SP",3.0,3.0,230, Indianópolis,"Rua Pariquera-Açu, 78",Leste
398,1200,2.0,"Rua Cavalieri, 55 - Quarta Parada, São Paulo - SP",1.0,0.0,100, Quarta Parada,"Rua Cavalieri, 55",Leste
412,5500,3.0,"Rua Francisco Olandim, 267 - São João Clímaco, São Paulo - SP",4.0,3.0,212, São João Clímaco,"Rua Francisco Olandim, 267",Leste
449,17000,3.0,"Vila Regente Feijó, São Paulo - SP",4.0,4.0,339, SP,"Vila Regente Feijó, São Paulo",Leste
484,1864,1.0,"Rua Eleonora Cintra, 960 - Jardim Anália Franco, São Paulo - SP",1.0,1.0,27, Jardim Anália Franco,"Rua Eleonora Cintra, 960",Leste
489,1320,1.0,"Rua Vitoantônio Del Vecchio, , 534 - Parque da Mooca, São Paulo - SP",1.0,1.0,45, Parque da Mooca,"Rua Vitoantônio Del Vecchio, , 534",Leste
495,820,1.0,"Rua Santa Elvira - Parque São Jorge, São Paulo - SP",1.0,0.0,20, Parque São Jorge,Rua Santa Elvira,Leste
534,7000,3.0,"Rua Eugênia de Carvalho, 1000 - Vila Matilde, São Paulo - SP",4.0,10.0,257, Vila Matilde,"Rua Eugênia de Carvalho, 1000",Leste
551,1500,2.0,"Rua Tobias Barreto, 700 - Mooca, São Paulo - SP",2.0,0.0,70, Mooca,"Rua Tobias Barreto, 700",Leste
553,700,1.0,"Rua Fran Pacheco, 54 - Parque Savoy City, São Paulo - SP",1.0,0.0,30, Parque Savoy City,"Rua Fran Pacheco, 54",Leste
557,2500,3.0,"Rua Mário Augusto do Carmo - Jardim Avelino, São Paulo - SP",3.0,2.0,120, Jardim Avelino,Rua Mário Augusto do Carmo,Leste
563,4700,4.0,"Rua do Tatuapé - Maranhão, São Paulo - SP",3.0,2.0,180, Maranhão,Rua do Tatuapé,Leste
565,1900,2.0,"Rua Fernandes Pinheiro - Vila Azevedo, São Paulo - SP",2.0,0.0,100, Vila Azevedo,Rua Fernandes Pinheiro,Leste
589,3800,3.0,"Rua Eponina, 67 - Vila Carrão, São Paulo - SP",3.0,2.0,140, Vila Carrão,"Rua Eponina, 67",Leste
594,1300,2.0,"Rua Cônego José Maria Fernandes - Cidade São Mateus, São Paulo - SP",1.0,2.0,100, Cidade São Mateus,Rua Cônego José Maria Fernandes,Leste
597,900,1.0,"Rua Dom Giocondo Grotti, 941 - Parque São Rafael, São Paulo - SP",1.0,1.0,90, Parque São Rafael,"Rua Dom Giocondo Grotti, 941",Leste
603,3000,3.0,"Rua Maria Eugênia, 95 - Tatuapé, São Paulo - SP",2.0,2.0,103, Tatuapé,"Rua Maria Eugênia, 95",Leste
606,1650,2.0,"Rua Aníbal de Matos, 159 - Vila Ema, São Paulo - SP",4.0,1.0,125, Vila Ema,"Rua Aníbal de Matos, 159",Leste
619,3000,3.0,"Rua Maria Eugênia, 92 - Tatuapé, São Paulo - SP",4.0,2.0,103, Tatuapé,"Rua Maria Eugênia, 92",Leste
629,2700,2.0,"Rua Pedro Inácio de Araújo, 250 - Vila São Silvestre, São Paulo - SP",2.0,2.0,105, Vila São Silvestre,"Rua Pedro Inácio de Araújo, 250",Leste
647,1500,3.0,"Rua Doutor Virgílio Machado, 635 - Vila Pierina, São Paulo - SP",2.0,1.0,80, Vila Pierina,"Rua Doutor Virgílio Machado, 635",Leste
676,4000,3.0,"Rua Curupá - Vila Formosa, São Paulo - SP",4.0,3.0,340, Vila Formosa,Rua Curupá,Leste
678,800,1.0,"Rua Francisco Gouveia - Quarta Parada, São Paulo - SP",1.0,0.0,16, Quarta Parada,Rua Francisco Gouveia,Leste
681,1500,1.0,"Avenida Jabaquara - Mirandópolis, São Paulo - SP",1.0,1.0,35, Mirandópolis,Avenida Jabaquara,Leste
692,3500,0.0,"Avenida Regente Feijó - Vila Regente Feijó, São Paulo - SP",1.0,2.0,55, Vila Regente Feijó,Avenida Regente Feijó,Leste
707,1520,1.0,"Rua Serra de Juréa, 351 - Cidade Mãe do Céu, São Paulo - SP",1.0,1.0,28, Cidade Mãe do Céu,"Rua Serra de Juréa, 351",Leste
712,1500,1.0,"Rua Brás Cardoso, 654 - Vila Nova Conceição, São Paulo - SP",1.0,1.0,42, Vila Nova Conceição,"Rua Brás Cardoso, 654",Leste
730,1900,2.0,"Rua Mossâmedes - Vila Santo Estevão, São Paulo - SP",3.0,2.0,85, Vila Santo Estevão,Rua Mossâmedes,Leste
731,3000,1.0,"Rua Brás Cardoso, 654 - Vila Nova Conceição, São Paulo - SP",1.0,1.0,42, Vila Nova Conceição,"Rua Brás Cardoso, 654",Leste
746,2000,2.0,"Rua Aldino - Chácara Belenzinho, São Paulo - SP",2.0,1.0,100, Chácara Belenzinho,Rua Aldino,Leste
755,1500,4.0,"Rua Acácio de Paula Leite Sampaio, 67 - Jardim Tietê, São Paulo - SP",2.0,2.0,213, Jardim Tietê,"Rua Acácio de Paula Leite Sampaio, 67",Leste
757,4000,4.0,"Avenida Cangaíba, 0 - Cangaíba, São Paulo - SP",2.0,3.0,200, Cangaíba,"Avenida Cangaíba, 0",Leste
758,3300,3.0,"Rua Dentista Barreto, 0 - Vila Carrão, São Paulo - SP",1.0,2.0,173, Vila Carrão,"Rua Dentista Barreto, 0",Leste
770,3820,3.0,"Vila Regente Feijó, São Paulo - SP",1.0,2.0,95, SP,"Vila Regente Feijó, São Paulo",Leste
774,800,1.0,"Rua Dario Ferreira Martins - Jardim Santo Elias (São Miguel), São Paulo - SP",1.0,1.0,50, Jardim Santo Elias (São Miguel),Rua Dario Ferreira Martins,Leste
793,1350,2.0,"Rua Refinaria Mataripe - Vila Antonieta, São Paulo - SP",2.0,1.0,70, Vila Antonieta,Rua Refinaria Mataripe,Leste
824,850,1.0,"Rua Solano Pereira - Vila Primavera, São Paulo - SP",1.0,0.0,30, Vila Primavera,Rua Solano Pereira,Leste
851,1200,1.0,"Rua Cipó da Mata, 34 - Mooca, São Paulo - SP",1.0,0.0,70, Mooca,"Rua Cipó da Mata, 34",Leste
875,1700,2.0,"Rua Serra de Juquiá - Jardim Lajeado, São Paulo - SP",1.0,2.0,100, Jardim Lajeado,Rua Serra de Juquiá,Leste
929,3500,2.0,"Rua Sante Colombara - Tatuapé, São Paulo - SP",3.0,2.0,220, Tatuapé,Rua Sante Colombara,Leste
935,4000,3.0,"Rua Hugo Walter Puschnick, 24 - Alto da Mooca, São Paulo - SP",5.0,5.0,260, Alto da Mooca,"Rua Hugo Walter Puschnick, 24",Leste
971,800,1.0,"Rua Dario Ferreira Martins - São Miguel Paulista, São Paulo - SP",1.0,1.0,50, São Miguel Paulista,Rua Dario Ferreira Martins,Leste
975,4000,4.0,"Rua Ubajara - Quarta Parada, São Paulo - SP",3.0,2.0,200, Quarta Parada,Rua Ubajara,Leste
979,1190,1.0,"Rua Santo Elias, 240 - Parque São Jorge, São Paulo - SP",1.0,0.0,40, Parque São Jorge,"Rua Santo Elias, 240",Leste
982,1700,1.0,"Rua Barretos, 363 - Alto da Mooca, São Paulo - SP",2.0,1.0,70, Alto da Mooca,"Rua Barretos, 363",Leste
985,8000,4.0,"Rua Maria Luísa de Pinho - Móoca, São Paulo - SP",4.0,6.0,520, Móoca,Rua Maria Luísa de Pinho,Leste
986,3850,3.0,"Rua Torquato Tasso - Vila Prudente, São Paulo - SP",2.0,3.0,250, Vila Prudente,Rua Torquato Tasso,Leste
987,1100,1.0,"Rua Padre Adelino, 1720 - Quarta Parada, São Paulo - SP",1.0,0.0,40, Quarta Parada,"Rua Padre Adelino, 1720",Leste
991,2100,2.0,"Rua Costa Barros, 230 - Sítio Pinheirinho, São Paulo - SP",1.0,2.0,100, Sítio Pinheirinho,"Rua Costa Barros, 230",Leste
1012,3000,3.0,"Rua Hermann Teles Ribeiro, 283 - Vila Invernada, São Paulo - SP",4.0,4.0,191, Vila Invernada,"Rua Hermann Teles Ribeiro, 283",Leste
1013,1700,2.0,"Rua Serra de Juquiá - Lajeado, São Paulo - SP",1.0,2.0,100, Lajeado,Rua Serra de Juquiá,Leste
1044,1864,1.0,"Rua Eleonora Cintra, 960 - Tatuapé, São Paulo - SP",1.0,1.0,27, Tatuapé,"Rua Eleonora Cintra, 960",Leste
1068,820,1.0,"Rua Santa Elvira - Tatuapé, São Paulo - SP",1.0,0.0,20, Tatuapé,Rua Santa Elvira,Leste
1080,1700,2.0,"Vila Matilde, São Paulo - SP",1.0,1.0,70, SP,"Vila Matilde, São Paulo",Leste
1081,2700,3.0,"Vila Dalila, São Paulo - SP",1.0,4.0,110, SP,"Vila Dalila, São Paulo",Leste
1082,2500,3.0,"Vila Dalila, São Paulo - SP",1.0,0.0,90, SP,"Vila Dalila, São Paulo",Leste
1083,7000,6.0,"Vila Matilde, São Paulo - SP",2.0,5.0,490, SP,"Vila Matilde, São Paulo",Leste
1090,3000,3.0,"Rua Alonso Calhamares - Jardim Anália Franco, São Paulo - SP",2.0,3.0,170, Jardim Anália Franco,Rua Alonso Calhamares,Leste
1091,2100,2.0,"Jardim Popular, São Paulo - SP",1.0,2.0,65, SP,"Jardim Popular, São Paulo",Leste
1095,3200,3.0,"Rua Chamantá - Vila Prudente, São Paulo - SP",4.0,2.0,200, Vila Prudente,Rua Chamantá,Leste
1097,1400,2.0,"Cidade Líder, São Paulo - SP",1.0,1.0,65, SP,"Cidade Líder, São Paulo",Leste
1101,3000,2.0,"Parque da Mooca, São Paulo - SP",2.0,3.0,242, SP,"Parque da Mooca, São Paulo",Leste
1,1650,2.0,"Rua Professor Demóstenes Batista Figueira Marques, 10 - Cambuci, São Paulo - SP",1.0,1.0,60, Cambuci,"Rua Professor Demóstenes Batista Figueira Marques, 10",Centro
2,2400,1.0,"Rua Cristiano Viana, 463 - Cerqueira César, São Paulo - SP",1.0,1.0,45, Cerqueira César,"Rua Cristiano Viana, 463",Centro
3,1900,2.0,"Rua Afonso Pena, 560 - Bom Retiro, São Paulo - SP",1.0,1.0,42, Bom Retiro,"Rua Afonso Pena, 560",Centro
5,1900,1.0,"Rua Adolfo Gordo, 52 - Campos Elíseos, São Paulo - SP",1.0,1.0,37, Campos Elíseos,"Rua Adolfo Gordo, 52",Centro
14,2700,1.0,"Rua da Consolação, 1515 - Consolação, São Paulo - SP",1.0,1.0,33, Consolação,"Rua da Consolação, 1515",Centro
16,2900,3.0,"Avenida Moaci, 780 - Planalto Paulista, São Paulo - SP",3.0,1.0,99, Planalto Paulista,"Avenida Moaci, 780",Centro
34,3100,2.0,"Avenida Fagundes Filho - Vila Monte Alegre, São Paulo - SP",1.0,2.0,70, Vila Monte Alegre,Avenida Fagundes Filho,Centro
35,2800,2.0,"Rua Martim Francisco, 67 - Santa Cecília, São Paulo - SP",2.0,1.0,50, Santa Cecília,"Rua Martim Francisco, 67",Centro
38,1500,1.0,"Rua Doutor Seng, 152 - Bela Vista, São Paulo - SP",1.0,0.0,36, Bela Vista,"Rua Doutor Seng, 152",Centro
40,4500,2.0,"Rua Dona Antônia de Queirós, 505 - Consolação, São Paulo - SP",2.0,2.0,60, Consolação,"Rua Dona Antônia de Queirós, 505",Centro
48,2900,2.0,"Alameda Santos, 1018 - Cerqueira César, São Paulo - SP",2.0,0.0,75, Cerqueira César,"Alameda Santos, 1018",Centro
54,3900,2.0,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",1.0,1.0,54, Consolação,"Rua Caio Prado, 363",Centro
61,3100,3.0,"Avenida Bernardino de Campos, 210 - Paraíso, São Paulo - SP",3.0,1.0,128, Paraíso,"Avenida Bernardino de Campos, 210",Centro
62,3500,2.0,"Alameda Barros - Santa Cecília, São Paulo - SP",2.0,2.0,78, Santa Cecília,Alameda Barros,Centro
65,2300,1.0,"Praça da República, 401 - República, São Paulo - SP",1.0,1.0,30, República,"Praça da República, 401",Centro
67,1800,2.0,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",1.0,0.0,46, Liberdade,"Rua Tamandaré, 464",Centro
72,1600,2.0,"Rua Guarani, 460 - Bom Retiro, São Paulo - SP",1.0,0.0,60, Bom Retiro,"Rua Guarani, 460",Centro
80,2250,1.0,"Rua Dona Antônia de Queirós - Consolação, São Paulo - SP",1.0,1.0,39, Consolação,Rua Dona Antônia de Queirós,Centro
86,2800,3.0,"Rua Galvão Bueno, 499 - Liberdade, São Paulo - SP",2.0,2.0,79, Liberdade,"Rua Galvão Bueno, 499",Centro
87,1000,1.0,"Rua Doutor Cesário Mota Júnior - Vila Buarque, São Paulo - SP",1.0,0.0,26, Vila Buarque,Rua Doutor Cesário Mota Júnior,Centro
89,700,1.0,"Rua Humaitá, 619 - Bela Vista, São Paulo - SP",1.0,0.0,32, Bela Vista,"Rua Humaitá, 619",Centro
90,2200,1.0,"Rua Itararé - Bela Vista, São Paulo - SP",1.0,1.0,48, Bela Vista,Rua Itararé,Centro
94,2190,1.0,"Rua Cristiano Viana, 950 - Cerqueira César, São Paulo - SP",1.0,0.0,25, Cerqueira César,"Rua Cristiano Viana, 950",Centro
98,2500,1.0,"Rua Aurora, 756 - Santa Efigênia, São Paulo - SP",1.0,1.0,30, Santa Efigênia,"Rua Aurora, 756",Centro
108,3300,3.0,"Rua Conselheiro Brotero, 823 - Santa Cecília, São Paulo - SP",3.0,2.0,88, Santa Cecília,"Rua Conselheiro Brotero, 823",Centro
110,4500,3.0,"Rua Sabará, 410 - Higienópolis, São Paulo - SP",3.0,1.0,120, Higienópolis,"Rua Sabará, 410",Centro
120,2300,1.0,"Rua Major Sertório, 321 - Vila Buarque, São Paulo - SP",1.0,1.0,37, Vila Buarque,"Rua Major Sertório, 321",Centro
122,3500,3.0,"Alameda Ribeirão Preto, 118 - Bela Vista, São Paulo - SP",3.0,1.0,100, Bela Vista,"Alameda Ribeirão Preto, 118",Centro
123,2500,2.0,"Rua Marquês de Itu, 181 - Vila Buarque, São Paulo - SP",1.0,1.0,50, Vila Buarque,"Rua Marquês de Itu, 181",Centro
125,2800,3.0,"Rua Artur Prado, 275 - Bela Vista, São Paulo - SP",2.0,0.0,78, Bela Vista,"Rua Artur Prado, 275",Centro
127,1350,1.0,"Rua da Consolação, 927 - Consolação, São Paulo - SP",1.0,0.0,27, Consolação,"Rua da Consolação, 927",Centro
130,4000,2.0,"Alameda Tietê, 353 - Cerqueira César, São Paulo - SP",3.0,1.0,100, Cerqueira César,"Alameda Tietê, 353",Centro
133,4040,3.0,"Rua Cristiano Viana, 505 - Cerqueira César, São Paulo - SP",2.0,1.0,85, Cerqueira César,"Rua Cristiano Viana, 505",Centro
136,3300,2.0,"Avenida Moaci - Planalto Paulista, São Paulo - SP",2.0,1.0,70, Planalto Paulista,Avenida Moaci,Centro
