,id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at,neighborhood
6553,2519315990,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santo-amaro-zona-sul-sao-paulo-com-garagem-81m2-aluguel-RS4490-id-2519315990/,"Apartamento com 2 Quartos para Aluguel, 81m²","Avenida Professor Alceu Maynard Araújo, 2150 - Santo Amaro, São Paulo - SP",81,2,2,2,"Área de serviço
Playground
Salão de festas
Quadra poliesportiva",4490,620,São Paulo,2021-05-11 18:40, Santo Amaro
6554,2455933622,https://www.vivareal.com.br/imovel/apartamento-1-quartos-liberdade-centro-sao-paulo-50m2-aluguel-RS1200-id-2455933622/,"Apartamento com Quarto para Aluguel, 50m²","Rua Taguá - Liberdade, São Paulo - SP",50,1,1,--,Elevador,1200,441,São Paulo,2021-05-11 18:40, Liberdade
6555,2518956961,https://www.vivareal.com.br/imovel/apartamento-3-quartos-pompeia-zona-oeste-sao-paulo-com-garagem-105m2-aluguel-RS4290-id-2518956961/,"Apartamento com 3 Quartos para Aluguel, 105m²","Rua Raul Pompéia, 463 - Pompeia, São Paulo - SP",105,3,3,2,nan,4290,1100,São Paulo,2021-05-11 18:40, Pompeia
6556,2511172254,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-37m2-aluguel-RS2100-id-2511172254/,"Apartamento com Quarto para Aluguel, 37m²","Rua Gabriele D'Annunzio, 48 - Campo Belo, São Paulo - SP",37,1,1,1,"Academia
Churrasqueira
Espaço gourmet
Salão de festas",2100,490,São Paulo,2021-05-11 18:40, Campo Belo
6557,2509779456,https://www.vivareal.com.br/imovel/apartamento-2-quartos-moema-zona-sul-sao-paulo-com-garagem-57m2-aluguel-RS2800-id-2509779456/,"Apartamento com 2 Quartos para Aluguel, 57m²","Rua Canário - Moema, São Paulo - SP",57,2,2,1,nan,2800,871,São Paulo,2021-05-11 18:40, Moema
6558,2518697105,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-42m2-aluguel-RS2600-id-2518697105/,"Apartamento com Quarto para Aluguel, 42m²","Rua Leopoldo Couto Magalhães Júnior - Itaim Bibi, São Paulo - SP",42,1,1,1,"Piscina
Churrasqueira
Interfone
Sauna",2600,758,São Paulo,2021-05-11 18:40, Itaim Bibi
6559,2518714105,https://www.vivareal.com.br/imovel/apartamento-4-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-116m2-aluguel-RS8800-id-2518714105/,"Apartamento com 4 Quartos para Aluguel, 116m²","Rua Jacques Félix - Vila Nova Conceição, São Paulo - SP",116,4,3,2,"Piscina
Academia
Churrasqueira
Elevador
Condomínio fechado",8800,1450,São Paulo,2021-05-11 18:40, Vila Nova Conceição
6560,2517107990,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-41m2-aluguel-RS3185-id-2517107990/,"Apartamento com Quarto para Aluguel, 41m²","Rua Professor Atílio Innocenti, 957 - Vila Olímpia, São Paulo - SP",41,1,1,1,"Ar-condicionado
Salão de festas
Salão de jogos",3185,1091,São Paulo,2021-05-11 18:40, Vila Olímpia
6561,2519059537,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-100m2-venda-RS1400000-id-2519059537/,Apartamento com 2 Quartos à Venda/Aluguel 100m²,"Brooklin, São Paulo - SP",100,2,3,2,"Elevador
Condomínio fechado
Aceita animais",5000,2800,São Paulo,2021-05-11 18:40, SP
6562,2515655903,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-iris-zona-oeste-sao-paulo-com-garagem-50m2-aluguel-RS1300-id-2515655903/,"Apartamento com 2 Quartos para Aluguel, 50m²","Avenida Raimundo Pereira de Magalhães, 2165 - Jardim Íris, São Paulo - SP",50,2,1,1,"Piscina
Academia
Churrasqueira
Elevador
Condomínio fechado",1300,380,São Paulo,2021-05-11 18:40, Jardim Íris
6563,2508492651,https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-72m2-venda-RS780000-id-2508492651/,Apartamento com 2 Quartos para Venda/Aluguel 72m²,"Praça Dom Gastão Liberal Pinto, 19 - Itaim Bibi, São Paulo - SP",72,2,2,1,"Churrasqueira
Elevador
Cozinha
Área de serviço
Interfone",3100,1030,São Paulo,2021-05-11 18:40, Itaim Bibi
6564,2439767583,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-32m2-aluguel-RS1300-id-2439767583/,"Apartamento com Quarto para Aluguel, 32m²","Rua José Kauer, 50 - Brás, São Paulo - SP",32,1,1,--,"Piscina
Academia
Churrasqueira
Elevador
Condomínio fechado",1300,300,São Paulo,2021-05-11 18:40, Brás
6565,2509447704,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-hamburguesa-zona-oeste-sao-paulo-com-garagem-96m2-venda-RS905000-id-2509447704/,Apartamento com 3 Quartos à Venda/Aluguel 96m²,"Rua Paulo Franco, 114 - Vila Hamburguesa, São Paulo - SP",96,3,4,2,"Piscina
Churrasqueira
Academia
Elevador
Condomínio fechado",3400,1094,São Paulo,2021-05-11 18:40, Vila Hamburguesa
